Date,S&P 500 Information Technology ,S&P 500 Industrials,S&P 500 Consumer Staples,S&P 400 Mid Cap,MSCI World Index USD,Dow Jones Industrial Average,S&P Health Care,S&P 500 Utilities
02/01/2008,403.21,348.14,295.48,847.56,1580,13040,3810,213.17
03/01/2008,402.34,349.89,294.6,841.58,1580,13060,3810,213.85
04/01/2008,384.18,341.26,292.93,817.51,1540,12800,3750,214.6
07/01/2008,381.25,339.08,298.03,815.34,1540,12830,3830,219.96
08/01/2008,370.61,331.09,297.18,796.63,1530,12590,3800,219.78
09/01/2008,378.82,333.62,299.69,800.41,1530,12740,3840,222.57
10/01/2008,380.04,337.48,301.93,807.61,1530,12850,3860,221.49
11/01/2008,372.41,330.81,295.75,796.23,1520,12610,3820,219.88
14/01/2008,382.17,335.07,295.06,804.4,1530,12780,3820,220.48
15/01/2008,373.19,327.29,291.19,785.34,1490,12500,3790,217.9
16/01/2008,365.13,326.21,290.49,781.58,1470,12470,3870,214.49
17/01/2008,359.32,314.45,286.58,758.93,1450,12160,3800,206.36
18/01/2008,360.77,317.35,283.59,756.21,1440,12100,3760,202.83
22/01/2008,349.69,316.93,279.49,752.64,1390,11970,3670,196.01
23/01/2008,349.32,325.36,282.67,769.65,1400,12270,3660,202.8
24/01/2008,359.81,327.22,281.73,778.83,1440,12380,3630,197.2
25/01/2008,353.57,325.73,277.89,771.87,1440,12210,3590,193.81
28/01/2008,355.06,330.7,281.25,789.78,1440,12380,3640,196.65
29/01/2008,355.13,332.79,280.79,795.56,1460,12480,3670,197.39
30/01/2008,355.35,333.8,279.43,787.02,1450,12440,3610,196.99
31/01/2008,360.14,338.54,283.56,804.64,1470,12650,3640,201.06
01/02/2008,363.18,343.8,286.14,823.43,1490,12740,3680,204.25
04/02/2008,357.06,340.59,284.08,817.34,1480,12640,3650,207.37
05/02/2008,346.3,330.67,278.76,793.88,1440,12270,3590,200.04
06/02/2008,341.6,329.67,278,784.49,1430,12200,3580,199.73
07/02/2008,340.82,330.27,282.17,792.63,1420,12250,3590,198.89
08/02/2008,345.17,328.27,280.01,794.08,1410,12180,3560,197.79
11/02/2008,349.03,331.14,282.87,798.61,1410,12240,3530,199.43
12/02/2008,348.38,333.5,285.68,800.24,1440,12370,3560,201.7
